"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
2485;"FIFO";-0.944444444444444;4.30555555555556;6554.31520848949;6554.31520848949;6413;6695;6616.74554851655;6698.0081614789
2558;"FIFO";-0.944444444444444;4.40277777777778;6555.01311959944;6555.01311959944;6412;6696;6620.45608625978;6701.75830062898
2631;"FIFO";-0.944444444444444;4.5;6555.58952350334;6555.58952350334;6414;6695;6624.02302915293;6705.3816505527
2704;"FIFO";-0.944444444444444;4.59722222222222;6556.04438813589;6556.04438813589;6420;6697;6627.4463891524;6708.8777570704
2777;"FIFO";-0.944444444444444;4.69444444444445;6556.37768819163;6556.37768819163;6414;6695;6630.72595900345;6712.2464017192
2850;"FIFO";-0.944444444444444;4.79166666666667;6556.5894051274;6556.5894051274;6415;6699;6633.8613120574;6715.4876019797
2923;"FIFO";-0.944444444444444;4.88888888888889;6556.67952716399;6556.67952716399;6417;6701;6636.85180292376;6718.6016106654
2996;"FIFO";-0.944444444444444;4.98611111111111;6556.64804928721;6556.64804928721;6417;6696;6639.69656899317;6721.58891444053
3069;"FIFO";-0.944444444444444;5.08333333333333;6556.49497324845;6556.49497324845;6416;6696;6642.39453290268;6724.4502313929
3142;"FIFO";-0.944444444444444;5.18055555555556;6556.2203075644;6556.2203075644;6418;6701;6644.94440605218;6727.18650755472
3215;"FIFO";-0.944444444444444;5.27777777777778;6555.82406751633;6555.82406751633;6417;6698;6647.34469330904;6729.7989122329
3288;"FIFO";-0.944444444444444;5.375;6555.3062751487;6555.3062751487;6417;6697;6649.59369906416;6732.28883198662
3361;"FIFO";-0.944444444444444;5.47222222222222;6554.66695926702;6554.66695926702;6413;6697;6651.68953481751;6734.65786307343
3434;"FIFO";-0.944444444444444;5.56944444444445;6553.90615543528;6553.90615543528;6413;6695;6653.63012847859;6736.90780217894
3507;"FIFO";-0.944444444444444;5.66666666666667;6553.02390597259;6553.02390597259;6414;6695;6655.41323556068;6739.0406352508
3580;"FIFO";-0.944444444444444;5.76388888888889;6552.02025994925;6552.02025994925;6413;6691;6657.03645242836;6741.05852427781
3653;"FIFO";-0.944444444444444;5.86111111111111;6550.89527318228;6550.89527318228;6407;6693;6658.49723172236;6742.96379188986
3726;"FIFO";-0.944444444444444;5.95833333333333;6549.64900823013;6549.64900823013;6408;6689;6659.79290003406;6744.75890370665
3799;"FIFO";-0.944444444444444;6.05555555555556;6548.28153438701;6548.28153438701;6406;6689;6660.92067783371;6746.44644843074
3872;"FIFO";-0.944444444444444;6.15277777777778;6546.79292767637;6546.79292767637;6412;6688;6661.87770157318;6748.02911576456
3945;"FIFO";-0.944444444444444;6.25;6545.18327084387;6545.18327084387;6405;6687;6662.66104778819;6749.50967232586
4018;"FIFO";-0.944444444444444;6.34722222222222;6543.45265334977;6543.45265334977;6404;6685;6663.26775892186;6750.8909358406
